symptom_text,ping_gateway,has_ip,ping_ip,ping_domain,ip_conflict,arp_table_ok,subnet_matches_gw,dns_response_time_ms,packet_loss_pct,traceroute_hops,network_type,os_type,diagnosis,severity,solutions,timestamp,dataset_version
gateway on different subnet than device,0,1,0,0,0,1,0,2839,98,0,Ethernet,macOS,Subnet Mismatch,Medium,"Check device IP and mask: ipconfig /all or ip addr | Identify gateway IP and its subnet | Verify device subnet contains the gateway IP (use subnet calculator) | Example correct config: device 192.168.1.50/24, gateway 192.168.1.1 | Set correct subnet mask: 255.255.255.0 for /24 networks | If using static IP, reconfigure with matching subnet | Check DHCP server subnet option — it may be misconfigured | Restart network after fixing subnet to apply changes",2024-01-01 00:00:00,3.0
routing table missing default route entry,0,1,0,0,0,1,1,1503,94,1,WiFi,macOS,Gateway Unreachable,Medium,Verify gateway IP: route print (Windows) or ip route show (Linux) | Ping gateway: ping <gateway_ip> — confirm it is unreachable | Re-enter correct default gateway in network settings | Check if gateway device is powered on and its port is active | Restart your network adapter | Check routing table for stale or conflicting routes | Reset TCP/IP stack: netsh int ip reset (Windows) | Verify no firewall rule is blocking ICMP to gateway,2024-01-01 01:00:00,3.0
lost internet after power outage,0,1,0,0,0,1,1,4330,68,2,Ethernet,macOS,Router Issue,Medium,Check if router is powered on — verify all indicator lights | Power cycle: unplug router for 30s then reconnect | Check WAN/Internet cable between router and modem | Verify ISP service is active — call ISP or check status page | Check router WAN IP in admin panel (usually 192.168.1.1) | Update router firmware from manufacturer website | Review router logs for PPPoE or DHCP errors from ISP | Factory reset router if all else fails,2024-01-01 02:00:00,3.0
alternate DNS like 8.8.8.8 works but default does not,1,1,1,0,0,1,1,23605,3,15,WiFi,macOS,DNS Timeout,Low,"Test DNS timeout: nslookup -timeout=5 google.com | Switch to a faster DNS server (1.1.1.1 is fastest globally) | Flush DNS cache — Windows: ipconfig /flushdns | Check if UDP port 53 is blocked by local firewall | Ping 1.1.1.1 — if that works but DNS times out, ISP is throttling DNS | Contact ISP — their DNS resolver may be degraded | Enable DNS over HTTPS/TLS to bypass ISP interference | Restart router to reset DNS cache and forwarder state",2024-01-01 03:00:00,3.0
all devices lost internet simultaneously,0,1,0,0,0,1,1,2947,97,2,Ethernet,Windows,Router Issue,Medium,Check if router is powered on — verify all indicator lights | Power cycle: unplug router for 30s then reconnect | Check WAN/Internet cable between router and modem | Verify ISP service is active — call ISP or check status page | Check router WAN IP in admin panel (usually 192.168.1.1) | Update router firmware from manufacturer website | Review router logs for PPPoE or DHCP errors from ISP | Factory reset router if all else fails,2024-01-01 04:00:00,3.0
ip address outside valid subnet range,0,1,0,0,0,1,0,1854,95,0,Ethernet,Windows,Subnet Mismatch,Medium,"Check device IP and mask: ipconfig /all or ip addr | Identify gateway IP and its subnet | Verify device subnet contains the gateway IP (use subnet calculator) | Example correct config: device 192.168.1.50/24, gateway 192.168.1.1 | Set correct subnet mask: 255.255.255.0 for /24 networks | If using static IP, reconfigure with matching subnet | Check DHCP server subnet option — it may be misconfigured | Restart network after fixing subnet to apply changes",2024-01-01 05:00:00,3.0
timeout waiting for nameserver response,1,1,1,0,0,1,1,18170,7,15,WiFi,Windows,DNS Timeout,Low,"Test DNS timeout: nslookup -timeout=5 google.com | Switch to a faster DNS server (1.1.1.1 is fastest globally) | Flush DNS cache — Windows: ipconfig /flushdns | Check if UDP port 53 is blocked by local firewall | Ping 1.1.1.1 — if that works but DNS times out, ISP is throttling DNS | Contact ISP — their DNS resolver may be degraded | Enable DNS over HTTPS/TLS to bypass ISP interference | Restart router to reset DNS cache and forwarder state",2024-01-01 06:00:00,3.0
network card driver missing or corrupted,1,0,0,0,0,0,0,30,100,0,Ethernet,Windows,Network Adapter Issue,High,Open Device Manager — check for yellow ! on network adapter | Right-click adapter → Enable if disabled | Check physical cable connection — try a different cable | Update driver: Device Manager → Update driver | Uninstall adapter in Device Manager then reboot to reinstall | Try a different USB or PCIe NIC to isolate hardware failure | Run Windows Network Diagnostics or Linux ethtool -t eth0 | Replace NIC if driver reinstall does not resolve it,2024-01-01 07:00:00,3.0
high latency on all dns queries,1,1,1,0,0,1,1,9447,2,15,Ethernet,Linux,DNS Timeout,Low,"Test DNS timeout: nslookup -timeout=5 google.com | Switch to a faster DNS server (1.1.1.1 is fastest globally) | Flush DNS cache — Windows: ipconfig /flushdns | Check if UDP port 53 is blocked by local firewall | Ping 1.1.1.1 — if that works but DNS times out, ISP is throttling DNS | Contact ISP — their DNS resolver may be degraded | Enable DNS over HTTPS/TLS to bypass ISP interference | Restart router to reset DNS cache and forwarder state",2024-01-01 08:00:00,3.0
gateway ip not responding to arp requests,0,1,0,0,0,1,0,3046,98,1,WiFi,Windows,Gateway Unreachable,Medium,Verify gateway IP: route print (Windows) or ip route show (Linux) | Ping gateway: ping <gateway_ip> — confirm it is unreachable | Re-enter correct default gateway in network settings | Check if gateway device is powered on and its port is active | Restart your network adapter | Check routing table for stale or conflicting routes | Reset TCP/IP stack: netsh int ip reset (Windows) | Verify no firewall rule is blocking ICMP to gateway,2024-01-01 09:00:00,3.0
netstat shows no default route,0,1,0,0,0,1,1,3045,91,1,Ethernet,Windows,Gateway Unreachable,Medium,Verify gateway IP: route print (Windows) or ip route show (Linux) | Ping gateway: ping <gateway_ip> — confirm it is unreachable | Re-enter correct default gateway in network settings | Check if gateway device is powered on and its port is active | Restart your network adapter | Check routing table for stale or conflicting routes | Reset TCP/IP stack: netsh int ip reset (Windows) | Verify no firewall rule is blocking ICMP to gateway,2024-01-01 10:00:00,3.0
router stuck in boot loop,0,1,0,0,0,1,1,4422,77,1,Ethernet,Linux,Router Issue,Medium,Check if router is powered on — verify all indicator lights | Power cycle: unplug router for 30s then reconnect | Check WAN/Internet cable between router and modem | Verify ISP service is active — call ISP or check status page | Check router WAN IP in admin panel (usually 192.168.1.1) | Update router firmware from manufacturer website | Review router logs for PPPoE or DHCP errors from ISP | Factory reset router if all else fails,2024-01-01 11:00:00,3.0
lost internet after power outage,0,1,0,0,0,1,1,3523,95,2,Ethernet,macOS,Router Issue,Medium,Check if router is powered on — verify all indicator lights | Power cycle: unplug router for 30s then reconnect | Check WAN/Internet cable between router and modem | Verify ISP service is active — call ISP or check status page | Check router WAN IP in admin panel (usually 192.168.1.1) | Update router firmware from manufacturer website | Review router logs for PPPoE or DHCP errors from ISP | Factory reset router if all else fails,2024-01-01 12:00:00,3.0
